Mã Tàu,Ng??i ?ánh giá,C? s? v?t ch?t (sao),Ch?t l??ng d?ch v? (sao),T?ng ?i?m trung bình,?ánh giá b?ng l?i
SE1,ph**ng,5,5,5,"Mình không nói chuy?n v?i ai, nh?ng chuy?n ?i r?t bình an."
SE1,du*le,5,4,4.5,Toilet k sach lam cuoi chuyen nhung luc dau on.
SE1,nh**oa,4,5,4.5,"Khoang kín v?a ph?i, c?m giác an toàn và yên t?nh."
SE1,tu***nh,3,4,3.5,C?m nh?n chung là ? ?i?n không dùng ???c nên h?i b?t ti?n.
SE1,tu***nh,4,3,3.5,Leo t?ng cao h?i khó v?i ng??i l?n tu?i. Mong ???c h? tr? thêm.
SE1,ho*****en,5,5,5,G?p b?n cùng khoang d? th??ng nên chuy?n ?i vui h?n.
SE1,du*le,3,3,3,C?m nh?n chung là Mình thích khoang 4 gi??ng h?n vì t?ng 3 h?i bí. Mình v?n s? ?i l?i n?u c?n.
SE1,tr***do,4,3,3.5,"Mình ?i v?i v?, ???c nhân viên s?p x?p t?ng 1, ti?n di chuy?n."
SE1,ph**ng,5,5,5,Toilet h?i b?n vào cu?i hành trình. Nh?ng c?ng không ??n n?i t?.
SE1,ho*****en,4,4,4,C?m nh?n chung là Nhân viên h? tr? r?t nhanh khi có s? c?. Mình v?n s? ?i l?i n?u c?n.
SE2,ph**ng,3,3,3,Gh? m?m ?n nh?ng không ng? sâu ???c. Mình v?n s? ?i l?i n?u c?n.
SE2,vy**an,5,3,4,"Ch?n g?i s?ch, không có mùi hôi."
SE2,ki**hi,5,3,4,"Mình không nói chuy?n v?i ai, nh?ng chuy?n ?i r?t bình an."
SE2,nh**oa,3,5,4,Tàu SE8 l?n này ch?y r?t êm. Lúc ??n còn ti?c vì h?t s?m.
SE2,la***am,3,3,3,Không có ?èn riêng nên h?i khó ??c sách. Nh?ng c?ng không ??n n?i t?.
SE2,tu***nh,5,3,4,"Mình không nói chuy?n v?i ai, nh?ng chuy?n ?i r?t bình an."
SE2,ph**ng,5,3,4,"Khoang gi??ng thoáng, không b? bí. L?n t?i mình s? th? khoang khác."
SE2,ki**hi,3,3,3,"Mình thích có c?a s?, n?m t?ng 1 v?a ??c sách v?a ng?m c?nh."
SE2,ph**ng,3,4,3.5,"C?m nh?n chung là T?ng 3 th?p quá, leo lên khá khó. Mình v?n s? ?i l?i n?u c?n."
SE2,hu****ng,4,5,4.5,"Ch?n g?i s?ch, không có mùi hôi. L?n t?i mình s? th? khoang khác."
SE2,ki**hi,3,4,3.5,C?m nh?n chung là ?i d?p l? nên h?i ?ông và ?n. Mình v?n s? ?i l?i n?u c?n.
SE2,lo**do,5,5,5,"C?m nh?n chung là ?i cùng tr? nh?, may có nhân viên giúp chuy?n gi??ng. Mình v?n s? ?i l?i n?u c?n."
SE2,th**le,5,5,5,"?i ?êm nên mình ng? luôn, th?c d?y t?i n?i luôn ??."
SE3,du*le,3,4,3.5,"Mình không nói chuy?n v?i ai, nh?ng chuy?n ?i r?t bình an."
SE3,bi**ph,4,5,4.5,C?m nh?n chung là Mình ng? ngon nh? tàu ít rung l?c. L?n t?i mình s? th? khoang khác.
SE3,nh**oa,3,3,3,"Tàu ch?y ??u, không b? xóc nhi?u, d? th? giãn."
SE3,ph**ng,3,4,3.5,"Vali to h?i v??ng, ph?i ?? sát c?a."
SE3,tu***nh,4,4,4,"Gh? h?i c?ng, ph?i gác chân lên balo cho ?? m?i ??."
SE3,hu****ng,4,3,3.5,C?m nh?n chung là ?i d?p l? nên h?i ?ông và ?n. Nh?ng c?ng không ??n n?i t?.
SE3,nh**oa,4,4,4,"Mình thích có c?a s?, n?m t?ng 1 v?a ??c sách v?a ng?m c?nh."
SE3,vy**an,4,5,4.5,"C?m nh?n chung là Vali to h?i v??ng, ph?i ?? sát c?a. Mình v?n s? ?i l?i n?u c?n."
SE3,bi**ph,5,3,4,C?m nh?n chung là Nhân viên h? tr? r?t nhanh khi có s? c?. L?n t?i mình s? th? khoang khác.
SE3,an*ng,4,3,3.5,Giuong sach nhung khong co den rieng de doc sach.
SE3,lo**do,3,5,4,"NV h? tr? ?n, thông báo ga rõ ràng. Có n??c phát mi?n phí."
SE3,vy**an,3,4,3.5,C?m nh?n chung là Mình thích khoang 4 gi??ng h?n vì t?ng 3 h?i bí.
SE4,bi**ph,5,3,4,"Tàu ch?y ??u, không b? xóc nhi?u, d? th? giãn."
SE4,ki**hi,4,3,3.5,C?m nh?n chung là G?p b?n cùng khoang d? th??ng nên chuy?n ?i vui h?n. Mình v?n s? ?i l?i n?u c?n.
SE4,ki**hi,5,4,4.5,C?m nh?n chung là Không có ?èn riêng nên h?i khó ??c sách.
SE4,an*ng,4,3,3.5,Tàu SE8 l?n này ch?y r?t êm. Lúc ??n còn ti?c vì h?t s?m.
SE4,tu***nh,5,5,5,C?m nh?n chung là Nhân viên h? tr? r?t nhanh khi có s? c?. Nh?ng c?ng không ??n n?i t?.
SE4,la***am,4,4,4,C?m nh?n chung là ? c?m n?m trên cao nên không ti?n c?m.
SE4,an*ng,3,4,3.5,T?ng 1 v?n là l?a ch?n t?t nh?t. Leo t?ng 3 là c?c hình ??.
SE4,ph**ng,3,5,4,"Mình không nói chuy?n v?i ai, nh?ng chuy?n ?i r?t bình an."
SE4,ph**ng,5,5,5,"C?m nh?n chung là Khoang gi??ng thoáng, không b? bí. Nh?ng c?ng không ??n n?i t?."
SE4,ph**ng,4,3,3.5,"NV h? tr? ?n, thông báo ga rõ ràng. Có n??c phát mi?n phí."
SE4,ph**ng,4,3,3.5,C?m nh?n chung là ? ?i?n không dùng ???c nên h?i b?t ti?n. L?n t?i mình s? th? khoang khác.
SE4,th**le,3,4,3.5,Gh? m?m ?n nh?ng không ng? sâu ???c. Nh?ng c?ng không ??n n?i t?.
SE4,lo**do,4,3,3.5,"Mình không nói chuy?n v?i ai, nh?ng chuy?n ?i r?t bình an."
SE4,lo**do,5,3,4,"nv tot, co nguoi tua giup me minh xuong ga."
SE4,ki**hi,5,4,4.5,Mình thích khoang 4 gi??ng h?n vì t?ng 3 h?i bí. L?n t?i mình s? th? khoang khác.
SE4,bi**ph,3,5,4,?i d?p l? nên h?i ?ông và ?n. L?n t?i mình s? th? khoang khác.
SE4,th**le,3,4,3.5,Toilet h?i b?n vào cu?i hành trình. L?n t?i mình s? th? khoang khác.
SE5,tr***do,5,5,5,Tàu h?i c? nh?ng ch?y êm. Nh?ng c?ng không ??n n?i t?.
SE5,la***am,5,3,4,? c?m n?m trên cao nên không ti?n c?m. Nh?ng c?ng không ??n n?i t?.
SE5,th**le,3,3,3,G?p b?n cùng khoang d? th??ng nên chuy?n ?i vui h?n. Mình v?n s? ?i l?i n?u c?n.
SE5,ki**hi,5,4,4.5,"Tàu ch?y ??u, không b? xóc nhi?u, d? th? giãn."
SE5,lo**do,3,5,4,C?m nh?n chung là Có bàn treo nh? khá ti?n ?? ?n ho?c ?? ?i?n tho?i.
SE5,du*le,3,5,4,Có bàn treo nh? khá ti?n ?? ?n ho?c ?? ?i?n tho?i. L?n t?i mình s? th? khoang khác.
SE5,ph**ng,4,4,4,? ?i?n không dùng ???c nên h?i b?t ti?n. L?n t?i mình s? th? khoang khác.
SE5,an*ng,3,4,3.5,"Tàu ch?y ??u, không b? xóc nhi?u, d? th? giãn."
SE5,hu****ng,3,4,3.5,"Mình không nói chuy?n v?i ai, nh?ng chuy?n ?i r?t bình an."
SE5,mi******en,5,5,5,"Gh? h?i c?ng, ph?i gác chân lên balo cho ?? m?i ??."
SE5,du*le,3,3,3,"Mình ?i m?t mình, khoang 6 gi??ng t?ng 2 khá chill ??."
SE5,an*ng,4,5,4.5,"?i ?êm nên mình ng? luôn, th?c d?y t?i n?i luôn ??."
SE5,mi******en,5,5,5,C?m nh?n chung là Mình ?i tuy?n ng?n nên c?ng không c?n gì nhi?u. L?n t?i mình s? th? khoang khác.
SE5,tu***nh,4,5,4.5,"Khoang kín v?a ph?i, c?m giác an toàn và yên t?nh."
SE5,ph**ng,5,3,4,"G?p nhân viên quen l?n tr??c, v?n nh? tên, b?t ng? ghê."
SE5,lo**do,4,4,4,C?m nh?n chung là ? c?m n?m trên cao nên không ti?n c?m. Mình v?n s? ?i l?i n?u c?n.
SE5,mi******en,4,3,3.5,C?m nh?n chung là Toilet h?i b?n vào cu?i hành trình.
SE6,tu***nh,3,4,3.5,C?a s? s?ch nên ng?m c?nh khá thích. Mình v?n s? ?i l?i n?u c?n.
SE6,an*ng,5,4,4.5,"nv tot, co nguoi tua giup me minh xuong ga."
SE6,tr***do,5,4,4.5,C?a s? s?ch nên ng?m c?nh khá thích. L?n t?i mình s? th? khoang khác.
SE6,th**le,5,3,4,Nhân viên h? tr? r?t nhanh khi có s? c?.
SE6,lo**do,4,4,4,"C?m nh?n chung là T?ng 3 th?p quá, leo lên khá khó. Nh?ng c?ng không ??n n?i t?."
SE6,nh**oa,5,5,5,"Mình không nói chuy?n v?i ai, nh?ng chuy?n ?i r?t bình an."
SE6,hu****ng,3,3,3,Toilet k sach lam cuoi chuyen nhung luc dau on.
SE6,bi**ph,5,3,4,"Khoang gi??ng thoáng, không b? bí. Nh?ng c?ng không ??n n?i t?."
SE6,du*le,4,4,4,Nhân viên h? tr? r?t nhanh khi có s? c?. L?n t?i mình s? th? khoang khác.
SE6,ki**hi,3,4,3.5,"?i ?êm nên mình ng? luôn, th?c d?y t?i n?i luôn ??."
SE6,hu****ng,5,4,4.5,"C?m nh?n chung là ?i cùng tr? nh?, may có nhân viên giúp chuy?n gi??ng."
SE6,vy**an,5,4,4.5,Giuong sach nhung khong co den rieng de doc sach.
SE6,vy**an,3,5,4,"Tàu ??n ?úng gi?, tr?i nghi?m ?n. L?n t?i mình s? th? khoang khác."
SE6,vy**an,4,4,4,"?i t? sáng s?m nên h?i m?t, nh?ng toa yên t?nh, không ?n ào."
SE6,hu****ng,4,4,4,"Leo t?ng 3 = t?p gym luôn, nh?ng n?m r?i thì êm c?c."
SE6,mi******en,3,3,3,C?m nh?n chung là Gh? m?m ?n nh?ng không ng? sâu ???c. L?n t?i mình s? th? khoang khác.
SE6,hu****ng,3,3,3,"Vali to h?i v??ng, ph?i ?? sát c?a. Nh?ng c?ng không ??n n?i t?."
SE7,mi******en,4,5,4.5,"G?p nhân viên quen l?n tr??c, v?n nh? tên, b?t ng? ghê."
SE7,ho*****en,3,3,3,Nhân viên h? tr? r?t nhanh khi có s? c?. Nh?ng c?ng không ??n n?i t?.
SE7,lo**do,3,3,3,den ga tre 15p nhung co thong bao truoc nen chap nhan.
SE7,ho*****en,5,5,5,"leo lên tang 3 hoi cuc, nhung nam duoc thi ok."
SE7,ho*****en,5,5,5,"Gh? h?i c?ng, ph?i gác chân lên balo cho ?? m?i ??."
SE7,du*le,4,5,4.5,"Leo t?ng 3 = t?p gym luôn, nh?ng n?m r?i thì êm c?c."
SE7,mi******en,4,5,4.5,"Mình ?i m?t mình, khoang 6 gi??ng t?ng 2 khá chill ??."
SE7,mi******en,4,5,4.5,"?i cùng tr? nh?, may có nhân viên giúp chuy?n gi??ng. Mình v?n s? ?i l?i n?u c?n."
SE7,an*ng,4,5,4.5,Mình thích khoang 4 gi??ng h?n vì t?ng 3 h?i bí.
SE7,th**le,4,4,4,Không có ?èn riêng nên h?i khó ??c sách. Mình v?n s? ?i l?i n?u c?n.
SE7,tu***nh,4,4,4,C?m nh?n chung là Có bàn treo nh? khá ti?n ?? ?n ho?c ?? ?i?n tho?i. Nh?ng c?ng không ??n n?i t?.
SE7,hu****ng,3,5,4,Không khí trên tàu khi?n mình th?y d? ch?u h?n k? v?ng.
SE7,la***am,3,5,4,"T?ng 3 th?p quá, leo lên khá khó. Mình v?n s? ?i l?i n?u c?n."
SE8,nh**oa,4,3,3.5,Giuong sach nhung khong co den rieng de doc sach.
SE8,nh**oa,5,5,5,"Khoang kín v?a ph?i, c?m giác an toàn và yên t?nh."
SE8,tr***do,3,5,4,C?a s? s?ch nên ng?m c?nh khá thích. Nh?ng c?ng không ??n n?i t?.
SE8,la***am,3,4,3.5,"G?p m?y ng??i cùng khoang nói chuy?n vui, chuy?n ?i không chán."
SE8,tu***nh,4,3,3.5,C?m nh?n chung là ? c?m n?m trên cao nên không ti?n c?m. Nh?ng c?ng không ??n n?i t?.
SE8,tu***nh,5,5,5,"Mình thích có c?a s?, n?m t?ng 1 v?a ??c sách v?a ng?m c?nh."
SE8,th**le,4,5,4.5,"Khoang gi??ng thoáng, không b? bí. Mình v?n s? ?i l?i n?u c?n."
SE8,lo**do,4,3,3.5,Leo t?ng cao h?i khó v?i ng??i l?n tu?i. Mong ???c h? tr? thêm.
SE8,bi**ph,5,4,4.5,"G?p m?y ng??i cùng khoang nói chuy?n vui, chuy?n ?i không chán."
SE8,th**le,5,4,4.5,Mình ?i tuy?n ng?n nên c?ng không c?n gì nhi?u. L?n t?i mình s? th? khoang khác.
SE8,ki**hi,5,5,5,C?m nh?n chung là C?a s? s?ch nên ng?m c?nh khá thích. L?n t?i mình s? th? khoang khác.
SE8,an*ng,5,5,5,"C?m nh?n chung là Ch?n g?i s?ch, không có mùi hôi."
SE8,bi**ph,4,5,4.5,? ?i?n không dùng ???c nên h?i b?t ti?n.
SE8,ki**hi,4,4,4,T?ng 1 v?n là l?a ch?n t?t nh?t. Leo t?ng 3 là c?c hình ??.
SE8,nh**oa,5,4,4.5,"?i ?êm nên mình ng? luôn, th?c d?y t?i n?i luôn ??."
SE8,th**le,4,5,4.5,Toilet h?i b?n vào cu?i hành trình.
SE9,mi******en,3,4,3.5,Mình thích khoang 4 gi??ng h?n vì t?ng 3 h?i bí. Nh?ng c?ng không ??n n?i t?.
SE9,hu****ng,3,3,3,? ?i?n không dùng ???c nên h?i b?t ti?n. Nh?ng c?ng không ??n n?i t?.
SE9,mi******en,5,3,4,"Khoang gi??ng thoáng, không b? bí."
SE9,hu****ng,3,4,3.5,G?p b?n cùng khoang d? th??ng nên chuy?n ?i vui h?n. L?n t?i mình s? th? khoang khác.
SE9,ho*****en,3,5,4,"C?m nh?n chung là Ch?n g?i s?ch, không có mùi hôi. Nh?ng c?ng không ??n n?i t?."
SE9,th**le,4,3,3.5,"T?ng 3 th?p quá, leo lên khá khó. L?n t?i mình s? th? khoang khác."
SE9,ki**hi,3,3,3,"NV h? tr? ?n, thông báo ga rõ ràng. Có n??c phát mi?n phí."
SE9,bi**ph,3,3,3,C?m nh?n chung là Mình ng? ngon nh? tàu ít rung l?c. Mình v?n s? ?i l?i n?u c?n.
SE9,tu***nh,5,3,4,Tàu SE8 l?n này ch?y r?t êm. Lúc ??n còn ti?c vì h?t s?m.
SE9,th**le,5,5,5,Leo t?ng cao h?i khó v?i ng??i l?n tu?i. Mong ???c h? tr? thêm.
SE10,bi**ph,3,5,4,"nv tot, co nguoi tua giup me minh xuong ga."
SE10,th**le,4,3,3.5,"Mình ?i m?t mình, khoang 6 gi??ng t?ng 2 khá chill ??."
SE10,an*ng,3,4,3.5,"nv tot, co nguoi tua giup me minh xuong ga."
SE10,tr***do,5,4,4.5,"Mình ?i m?t mình, khoang 6 gi??ng t?ng 2 khá chill ??."
SE10,mi******en,4,3,3.5,den ga tre 15p nhung co thong bao truoc nen chap nhan.
SE10,tu***nh,4,5,4.5,"Toa h?i c?, nh?ng tàu ch?y êm. Gh? ng?i m?m, có th? ch?p m?t."
SE10,lo**do,4,5,4.5,C?m nh?n chung là Gh? m?m ?n nh?ng không ng? sâu ???c. Mình v?n s? ?i l?i n?u c?n.
SE10,ho*****en,4,3,3.5,C?m nh?n chung là Tàu h?i c? nh?ng ch?y êm. Nh?ng c?ng không ??n n?i t?.
SE10,tu***nh,3,4,3.5,C?m nh?n chung là Không có ?èn riêng nên h?i khó ??c sách. Nh?ng c?ng không ??n n?i t?.
SE10,la***am,4,5,4.5,Không có ?èn riêng nên h?i khó ??c sách. L?n t?i mình s? th? khoang khác.
SE10,ki**hi,4,4,4,"Mình ?i m?t mình, khoang 6 gi??ng t?ng 2 khá chill ??."
SE10,vy**an,5,4,4.5,Mình thích khoang 4 gi??ng h?n vì t?ng 3 h?i bí. Mình v?n s? ?i l?i n?u c?n.
SE10,an*ng,5,5,5,C?m nh?n chung là Mình thích khoang 4 gi??ng h?n vì t?ng 3 h?i bí. L?n t?i mình s? th? khoang khác.
SE22,vy**an,4,3,3.5,? ?i?n không dùng ???c nên h?i b?t ti?n. Mình v?n s? ?i l?i n?u c?n.
SE22,tr***do,4,4,4,Mình ?i tuy?n ng?n nên c?ng không c?n gì nhi?u.
SE22,lo**do,5,5,5,"C?m nh?n chung là Ch?n g?i s?ch, không có mùi hôi. L?n t?i mình s? th? khoang khác."
SE22,mi******en,3,4,3.5,C?m nh?n chung là G?p b?n cùng khoang d? th??ng nên chuy?n ?i vui h?n. L?n t?i mình s? th? khoang khác.
SE22,bi**ph,4,3,3.5,C?m nh?n chung là Có bàn treo nh? khá ti?n ?? ?n ho?c ?? ?i?n tho?i. Mình v?n s? ?i l?i n?u c?n.
SE22,ph**ng,5,3,4,C?m nh?n chung là Nhân viên h? tr? r?t nhanh khi có s? c?.
SE22,ki**hi,3,5,4,"C?m nh?n chung là T?ng 3 th?p quá, leo lên khá khó. L?n t?i mình s? th? khoang khác."
SE22,vy**an,3,5,4,Có bàn treo nh? khá ti?n ?? ?n ho?c ?? ?i?n tho?i. Mình v?n s? ?i l?i n?u c?n.
SE22,lo**do,5,5,5,"Ch?n g?i s?ch, không có mùi hôi. Mình v?n s? ?i l?i n?u c?n."
SE22,ho*****en,5,4,4.5,? c?m n?m trên cao nên không ti?n c?m.
SE22,mi******en,3,3,3,Gh? m?m ?n nh?ng không ng? sâu ???c. L?n t?i mình s? th? khoang khác.
SE22,th**le,4,3,3.5,"G?p m?y ng??i cùng khoang nói chuy?n vui, chuy?n ?i không chán."
SE22,tu***nh,3,5,4,den ga tre 15p nhung co thong bao truoc nen chap nhan.
SE22,mi******en,5,5,5,"G?p m?y ng??i cùng khoang nói chuy?n vui, chuy?n ?i không chán."
